"pxcor","pycor","pcolor","plabel","plabel-color"
"61","2","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"62","2","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"63","2","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"64","2","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-64","1","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-63","1","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-62","1","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-61","1","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-60","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-59","1","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"-58","1","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-57","1","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-56","1","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"-55","1","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-54","1","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-53","1","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-52","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-51","1","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-50","1","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-49","1","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-48","1","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-47","1","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-46","1","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-45","1","[63.75 176.25 63.75]","""""","9.9"
"-44","1","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-43","1","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-42","1","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-41","1","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-40","1","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-39","1","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-38","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-37","1","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-36","1","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-35","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-34","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-33","1","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-32","1","[21.25 158.75 21.25]","""""","9.9"
"-31","1","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-30","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-29","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-28","1","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-27","1","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-26","1","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-25","1","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-24","1","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-23","1","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-22","1","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-21","1","[170 220 170]","""""","9.9"
"-20","1","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-19","1","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-18","1","[148.75 211.25 148.75]","""""","9.9"
"-17","1","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-16","1","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-15","1","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-14","1","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-13","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-12","1","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-11","1","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-10","1","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-9","1","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-8","1","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-7","1","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-6","1","[148.75 211.25 148.75]","""""","9.9"
"-5","1","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"-4","1","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"-3","1","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-2","1","[191.25 228.75 191.25]","""""","9.9"
"-1","1","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"0","1","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"1","1","[164.8438853987152 217.87689398770627 164.8438853987152]","""""","9.9"
"2","1","[148.75 211.25 148.75]","""""","9.9"
"3","1","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"4","1","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"5","1","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"6","1","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"7","1","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"8","1","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"9","1","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"10","1","[42.5 167.5 42.5]","""""","9.9"
"11","1","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"12","1","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"13","1","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"14","1","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"15","1","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"16","1","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"17","1","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"18","1","[127.5 202.5 127.5]","""""","9.9"
"19","1","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"20","1","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"21","1","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"22","1","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"23","1","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"24","1","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"25","1","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"26","1","[42.5 167.5 42.5]","""""","9.9"
"27","1","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"28","1","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"29","1","0","""""","9.9"
"30","1","0","""""","9.9"
"31","1","0","""""","9.9"
"32","1","0","""""","9.9"
"33","1","[0 150 0]","""""","9.9"
"34","1","0","""""","9.9"
"35","1","0","""""","9.9"
"36","1","0","""""","9.9"
"37","1","0","""""","9.9"
"38","1","0","""""","9.9"
"39","1","0","""""","9.9"
"40","1","0","""""","9.9"
"41","1","0","""""","9.9"
"42","1","0","""""","9.9"
"43","1","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"44","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"45","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"46","1","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"47","1","[21.25 158.75 21.25]","""""","9.9"
"48","1","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"49","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"50","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"51","1","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"52","1","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"53","1","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"54","1","[191.25 228.75 191.25]","""""","9.9"
"55","1","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"56","1","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"57","1","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"58","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"59","1","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"60","1","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"61","1","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"62","1","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"63","1","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"64","1","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-64","0","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-63","0","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-62","0","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-61","0","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-60","0","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-59","0","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-58","0","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-57","0","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-56","0","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-55","0","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-54","0","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-53","0","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-52","0","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-51","0","[42.5 167.5 42.5]","""""","9.9"
"-50","0","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-49","0","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-48","0","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-47","0","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-46","0","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-45","0","[85 185 85]","""""","9.9"
"-44","0","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-43","0","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"-42","0","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-41","0","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-40","0","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-39","0","[42.5 167.5 42.5]","""""","9.9"
"-38","0","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-37","0","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-36","0","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-35","0","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-34","0","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-33","0","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-32","0","[0 150 0]","""""","9.9"
"-31","0","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-30","0","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-29","0","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-28","0","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-27","0","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-26","0","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-25","0","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-24","0","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-23","0","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-22","0","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-21","0","[148.75 211.25 148.75]","""""","9.9"
"-20","0","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-19","0","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-18","0","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-17","0","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-16","0","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-15","0","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-14","0","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-13","0","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-12","0","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-11","0","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-10","0","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-9","0","[0 150 0]","""""","9.9"
"-8","0","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-7","0","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-6","0","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-5","0","[148.75 211.25 148.75]","""""","9.9"
"-4","0","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"-3","0","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-2","0","[170 220 170]","""""","9.9"
"-1","0","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"0","0","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"1","0","[148.75 211.25 148.75]","""""","9.9"
"2","0","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"3","0","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"4","0","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"5","0","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"6","0","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"7","0","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"8","0","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"9","0","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"10","0","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"11","0","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"12","0","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"13","0","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"14","0","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"15","0","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"16","0","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"17","0","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"18","0","[148.75 211.25 148.75]","""""","9.9"
"19","0","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"20","0","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"21","0","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"22","0","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"23","0","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"24","0","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"25","0","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"26","0","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"27","0","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"28","0","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"29","0","0","""""","9.9"
"30","0","0","""""","9.9"
